yearSeason,urlSeasonBREF,winsTeam,lossesTeam,winsPythagTeam,lossesPythagTeam,marginVictoryTeam,ratioFTtoFGATeam,ratioFTtoFGAOpponent,nameArena,attendancePerGameTeam,Team,urlBREFTeamData,idTeamNBA,urlThumbnailTeam,ageMeanMisc,ratingStrengthOfScheduleMisc,ratingSimpleSystemMisc,ortgTeamMisc,drtgTeamMisc,nrtgTeamMisc,paceTeamMisc,pctFTRateMisc,pct3PRateMisc,pctTrueShootingeTeamMisc,pctEFGTeamMisc,pctTOVTeamMisc,pctORBTeamMisc,pctEFGTeamOppMisc,pctTOVOpponentMisc,pctDRBOpponentMisc,isPlayoffTeam,beatExpectedWins
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,36,46,42,40,0.2,0.227,0.164,Spectrum Center,17333,CHO,https://www.basketball-reference.com/teams/CHO/2017.html,1610612766,https://stats.nba.com/media/img/teams/logos/CHA_logo.svg,26.5,-0.26,-0.07,108.8,108.6,0.2,95.7,0.279,0.335,0.547,0.501,10.7,19.9,0.523,12.1,79.6,FALSE,FALSE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,41,41,40,42,-0.52,0.214,0.241,Moda Center,19318,POR,https://www.basketball-reference.com/teams/POR/2017.html,1610612757,https://stats.nba.com/media/img/teams/logos/POR_logo.svg,24.8,0.3,-0.23,110.3,110.8,-0.5,96.7,0.275,0.322,0.559,0.52,12.5,23,0.508,11.6,76.8,TRUE,TRUE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,42,40,40,42,-0.18,0.21,0.215,BMO Harris Bradley Center,15828,MIL,https://www.basketball-reference.com/teams/MIL/2017.html,1610612749,https://stats.nba.com/media/img/teams/logos/MIL_logo.svg,25.6,-0.26,-0.45,109.1,109.3,-0.2,94.5,0.274,0.29,0.565,0.527,13.2,21.5,0.518,13.6,75.4,TRUE,TRUE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,42,40,40,42,-0.22,0.212,0.225,Bankers Life Fieldhouse,16697,IND,https://www.basketball-reference.com/teams/IND/2017.html,1610612754,https://stats.nba.com/media/img/teams/logos/IND_logo.svg,27,-0.42,-0.64,108.6,108.8,-0.2,95.9,0.261,0.272,0.558,0.516,12.8,21.2,0.512,13.6,75.5,TRUE,TRUE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,31,51,38,44,-1.11,0.229,0.212,Target Center,14810,MIN,https://www.basketball-reference.com/teams/MIN/2017.html,1610612750,https://stats.nba.com/media/img/teams/logos/MIN_logo.svg,24,0.47,-0.64,110.8,112,-1.2,94.6,0.287,0.249,0.555,0.511,12.9,27.2,0.535,13.2,75.9,FALSE,FALSE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,43,39,39,43,-0.85,0.215,0.179,Philips Arena,15959,ATL,https://www.basketball-reference.com/teams/ATL/2017.html,1610612737,https://stats.nba.com/media/img/teams/logos/ATL_logo.svg,27.9,-0.38,-1.23,104.9,105.7,-0.8,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.507,13.8,76.1,TRUE,TRUE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,37,45,38,44,-1.12,0.157,0.197,The Palace of Auburn Hills,15979,DET,https://www.basketball-reference.com/teams/DET/2017.html,1610612765,https://stats.nba.com/media/img/teams/logos/DET_logo.svg,25.4,-0.17,-1.29,106,107.1,-1.1,95,0.218,0.263,0.521,0.492,10.9,24.1,0.516,12.1,81.2,FALSE,FALSE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,34,48,35,47,-2.1,0.192,0.177,Smoothie King Center,16173,NOP,https://www.basketball-reference.com/teams/NOP/2017.html,1610612740,https://stats.nba.com/media/img/teams/logos/NOP_logo.svg,25.7,0.41,-1.69,105.2,107.4,-2.2,98,0.256,0.308,0.539,0.504,11.7,18.5,0.509,12.4,76.8,FALSE,FALSE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,33,49,33,49,-2.93,0.18,0.218,American Airlines Center,19789,DAL,https://www.basketball-reference.com/teams/DAL/2017.html,1610612742,https://stats.nba.com/media/img/teams/logos/DAL_logo.svg,27.6,0.4,-2.53,105.6,108.8,-3.2,92.2,0.225,0.366,0.541,0.505,11.6,18.1,0.529,14.4,77.6,FALSE,FALSE
2017,https://www.basketball-reference.com/leagues/NBA_2017.html,32,50,31,51,-3.88,0.22,0.227,Golden 1 Center,17608,SAC,https://www.basketball-reference.com/teams/SAC/2017.html,1610612758,https://stats.nba.com/media/img/teams/logos/SAC_logo.svg,27.9,0.58,-3.29,107.3,111.3,-4,94.9,0.284,0.291,0.556,0.516,13.7,21,0.528,12.9,76.3,FALSE,TRUE
