Player.x,Team.x,Season.x,pos,Age.x,GP.x,W.x,L.x,Min.x,Offrtg,Defrtg,Netrtg,Ast_Pct,Ast_TO,Ast_Ratio,OREB_Pct,DREB_Pct,REB_Pct,To_Ratio,EFG_Pct,TS_Pct,USG_Pct,Pace,PIE,Screen_Assists,Screen_Assists_Pts,Deflections,Off_loose_balls_recovered,Def_loose_balls_recovered,loose_balls_recovered,Off_loose_balls_recovered_pct,Def_loose_balls_recovered_pct,Charges_drawn,Contested_2p_shots,Contested_3p_shots,Contested_shots,Pts_of_TOV,Second_pts,FBPS,PITP,OPP_pts_off_TO,OPP_Second_pts,OPP_FBPS,OPP_PITP,BLK,BLKA,PF,PFD,mp,per,tspercent,x3par,ftr,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,Salary,All_Star,FGM_0_8,FGA_0_8,FG._0_8,FGM_8_16,FGA_8_16,FG._8_16,FGM_16_24,FGA_16_24,FG._16_24,FGM_24_plus,FGA_24_plus,FG._24_plus,FGM_backcourt,FGA_backcourt,FG._backcourt
Cameron Payne,CHI,2017,PG,22,31,16,15,14.9,97.1,103.2,-6.1,19.5,1.9,19.6,0.6,9.8,5,10.3,40.2,40.7,21.2,98.84,4.1,0.1,0.3,0.9,0,0,0.3,0,0,0.13,1.9,1.4,3.3,0.6,0.3,0.2,1.3,5.8,3.4,3.7,14.6,0.1,0.3,1.7,0.6,320,6.1,0.402,0.4,0.031,0.7,10.1,5.4,18.3,1.5,1,10.8,19.6,-0.4,0.3,-0.1,-0.012,-4.7,-2,-6.8,-0.4,2112480,0,0.5,1.5,37.8,0.5,1.2,40,0.2,0.9,22.2,0.9,2.7,31.8,0,0,0
Caris LeVert,BKN,2017,SF,22,57,15,42,21.7,104.7,107.9,-3.2,13.2,1.86,18.6,1.8,12.4,7.1,10,52.8,55.6,16.1,104.53,8.6,0.1,0.2,1.8,0,0,0.7,0,0,0.04,2.6,1.8,4.4,1.8,0.5,1.7,3.3,7.5,6.4,5.8,20.7,0.1,0.2,1.6,1.5,1237,12.3,0.556,0.484,0.245,2,13.9,8,13.7,1.9,0.5,12.3,16.6,0.8,1,1.8,0.07,-0.7,-0.4,-1.1,0.3,1562280,0,1.5,2.4,61.9,0.3,0.7,47.4,0.2,0.4,45.8,1,3.2,32.2,0,0,0
Carmelo Anthony,NYK,2017,SF,33,74,29,45,34.3,107.8,112.7,-4.8,14.1,1.39,11.2,2.3,14.3,8.2,8,48.8,53.5,28.6,97.04,11.8,0.9,2,1.8,0,0,0.7,0,0,0,2.9,3.7,6.5,2.7,2.8,1.1,4,12,10.9,10.6,33.9,0.5,0.5,2.7,3.7,2538,17.9,0.535,0.303,0.263,2.6,16,9.3,14.5,1.2,1.1,9,29.1,3.2,1.5,4.7,0.089,1.5,-2.2,-0.7,0.8,24559380,1,1.6,3.3,50.2,2,4.5,45,2.4,5.3,45.7,2,5.6,36.5,0,0.1,0
Chandler Parsons,MEM,2017,SF,28,34,18,16,19.8,103.5,108.1,-4.5,12.2,2.29,17.2,0.9,12.8,6.7,7.5,39.4,43.6,18.1,94.05,5.6,0.1,0.1,1.1,0,0,0.4,0,0,0.09,1.7,1.5,3.3,1.4,0.3,0.8,2.3,6.1,4.6,6.6,17.6,0.1,0.4,1.5,1.1,675,7.7,0.436,0.419,0.194,1,13.6,7.1,12.8,1.5,0.7,9.1,17.8,-0.5,0.7,0.2,0.015,-3.6,-0.5,-4.1,-0.3,22116750,0,1.1,2.2,48.7,0.3,0.9,33.3,0.1,0.7,13,0.7,2.7,26.9,0,0,0
Channing Frye,CLE,2017,C,34,74,44,30,18.9,110.5,109.3,1.2,5,0.85,6.9,2.7,17.2,10.3,8.1,58.9,61.2,19.3,97.81,10.1,1.4,3.3,0.8,0,0,0.2,0,0,0.04,6.8,1.5,8.3,1.1,0.9,0.4,1.6,6.2,4.7,4.9,16.4,0.5,0.1,1.9,1.2,1398,15.6,0.612,0.644,0.142,3,19.3,11.4,4.9,1.2,2.1,8.8,19.3,2.3,1.4,3.7,0.125,0.8,-1.5,-0.6,0.5,7806971,0,0.7,1.4,55,0.3,0.5,54.1,0.4,0.6,54.2,1.9,4.5,40.9,0,0,0
Chasson Randle,NYK,2017,PG,24,26,8,18,11.5,107.2,106.4,0.8,17.3,1.79,20.1,2,8.6,5.3,11.2,49,58.6,19.3,99.52,8.4,0.3,0.6,1,0,0,0.7,0,0,0.12,1.3,1.5,2.8,0.7,0.7,0.9,1.8,4.3,3.3,2.8,10.9,0.1,0.3,1.5,1.4,74,17.7,0.671,0.577,0.462,0,7.5,3.7,13.2,2,1.1,8.8,20.1,0.2,0.1,0.3,0.197,2.6,-2.7,-0.1,0,541170,0,0.9,1.8,50,0.1,0.2,40,0,0.1,0,0.6,1.8,34,0,0,0
Cheick Diallo,NOP,2017,PF,20,17,9,8,11.7,99.8,111.9,-12.1,3.1,0.57,4.1,10.6,25.4,17.6,7.2,47.4,51,19.8,101.48,11.3,0.6,1.4,0.5,0,0,0.5,0,0,0,2.5,1.5,4,1.4,1.1,0.5,2.7,3.5,3.9,3.1,11.3,0.4,0.2,1,0.9,199,16.8,0.51,0,0.276,12.1,26.7,19.4,3.2,1,2.9,7.6,20.5,0.2,0.3,0.5,0.111,-4.6,-1,-5.6,-0.2,543471,0,1.3,1.8,71,0.4,1.5,29.2,0.5,1.6,33.3,0,0,0,0,0,0
Chinanu Onuaku,HOU,2017,C,20,5,2,3,10.3,95.6,136.6,-41,8.6,0.75,18.8,4.2,16.3,10.3,25,71.4,79.9,10.5,104.65,7.2,1.8,4.2,1.2,0,0,0.6,0,0,0,3.8,0.4,4.2,0.4,0.8,0,2,6,4.4,5.4,11.2,0.2,0,1.2,0.4,52,12.3,0.799,0,0.571,4.2,16.8,10.5,7.8,2.8,1.6,31.3,10.4,0.1,0.1,0.1,0.123,-2.4,1.8,-0.6,0,543471,0,1,1.4,71.4,0,0,0,0,0,0,0,0,0,0,0,0
Chris Andersen,CLE,2017,C,38,12,8,4,9.5,111.3,107.3,3.9,6.3,1,12.8,8.8,17.2,13.5,12.8,40.9,49.7,13.4,97.65,6.3,2.1,5,0.8,0,0,0.1,0,0,0,3.7,0.4,4.1,0.2,0.7,0,1.3,3.4,4.8,1.5,6.8,0.6,0.2,1.7,0.8,114,11.6,0.497,0.136,0.636,9,20.6,15,5.9,2.2,5,15.1,13,0.1,0.2,0.2,0.102,-3.8,3,-0.9,0,1551659,0,0.6,1.2,50,0.1,0.2,50,0.1,0.3,33.3,0,0.3,0,0,0,0
Chris McCullough,WAS,2017,PF,22,16,1,15,5,120.9,91.3,29.6,3.6,0.67,5.1,11.5,11.8,11.7,7.7,51.6,52.6,18.9,102.92,8.5,0.5,1.3,0.2,0,0,0.1,0,0,0,1.3,0.8,2.1,0.4,0.3,0.5,1.3,1.2,1.8,0.8,4.3,0.1,0.2,0.4,0.2,8,1.1,0.266,1,2,0,28.1,14.1,0,6.2,0,34.7,15.7,0,0,0,-0.162,-11.8,0.3,-11.5,0,1191480,0,0.6,1,56.3,0.4,0.4,100,0.1,0.3,40,0.1,0.5,14.3,0,0,0
