"","isSeasonCurrent","slugSeason","yearSeason","urlSeasonBREF","nameTeam","isPlayoffTeam","winsTeam","lossesTeam","winsPythagTeam","lossesPythagTeam","marginVictoryTeam","ratioFTtoFGATeam","ratioFTtoFGAOpponent","nameArena","attendanceArenaTeam","attendancePerGameTeam","slugTeamBREF","urlBREFTeamData","idTeamNBA","urlThumbnailTeam","ageMeanMisc","ratingStrengthOfScheduleMisc","ratingSimpleSystemMisc","ortgTeamMisc","drtgTeamMisc","nrtgTeamMisc","paceTeamMisc","pctFTRateMisc","pct3PRateMisc","pctTrueShootingeTeamMisc","pctEFGTeamMisc","pctTOVTeamMisc","pctORBTeamMisc","pctEFGTeamOppMisc","pctTOVOpponentMisc","pctDRBOpponentMisc"
"1",FALSE,"2014-15",2015,"https://www.basketball-reference.com/leagues/NBA_2015.html","Golden State Warriors",TRUE,67,15,65,17,10.1,0.184,0.217,"Oracle Arena",803436,19596,"GSW","https://www.basketball-reference.com/teams/GSW/2015.html",1610612744,"https://stats.nba.com/media/img/teams/logos/GSW_logo.svg",26.6,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.47,14.3,74.5
"2",FALSE,"2014-15",2015,"https://www.basketball-reference.com/leagues/NBA_2015.html","Los Angeles Clippers",TRUE,56,26,58,24,6.59,0.215,0.231,"STAPLES Center",785892,19168,"LAC","https://www.basketball-reference.com/teams/LAC/2015.html",1610612746,"https://stats.nba.com/media/img/teams/logos/LAC_logo.svg",28.8,0.22,6.8,112.4,105.5,6.9,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.493,13.2,75.7
"3",FALSE,"2014-15",2015,"https://www.basketball-reference.com/leagues/NBA_2015.html","San Antonio Spurs",TRUE,55,27,58,24,6.2,0.2,0.19,"AT&T Center",762855,18606,"SAS","https://www.basketball-reference.com/teams/SAS/2015.html",1610612759,"https://stats.nba.com/media/img/teams/logos/SAS_logo.svg",29.8,0.14,6.34,108.5,102,6.5,93.8,0.256,0.269,0.555,0.517,13.1,23.4,0.484,13.3,77.3
"4",FALSE,"2014-15",2015,"https://www.basketball-reference.com/leagues/NBA_2015.html","Atlanta Hawks",TRUE,60,22,56,26,5.43,0.201,0.185,"Philips Arena",713909,17412,"ATL","https://www.basketball-reference.com/teams/ATL/2015.html",1610612737,"https://stats.nba.com/media/img/teams/logos/ATL_logo.svg",27.8,-0.68,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.492,14.9,73.4
"5",FALSE,"2014-15",2015,"https://www.basketball-reference.com/leagues/NBA_2015.html","Portland Trail Blazers",TRUE,51,31,53,29,4.23,0.18,0.182,"Moda Center",798368,19472,"POR","https://www.basketball-reference.com/teams/POR/2015.html",1610612757,"https://stats.nba.com/media/img/teams/logos/POR_logo.svg",27,0.18,4.41,108.2,103.7,4.5,94.2,0.225,0.316,0.544,0.508,12.6,24.2,0.476,11.3,76.2
"6",FALSE,"2014-15",2015,"https://www.basketball-reference.com/leagues/NBA_2015.html","Cleveland Cavaliers",TRUE,53,29,53,29,4.48,0.216,0.177,"Quicken Loans Arena",843042,20562,"CLE","https://www.basketball-reference.com/teams/CLE/2015.html",1610612739,"https://stats.nba.com/media/img/teams/logos/CLE_logo.svg",26.9,-0.4,4.08,111.1,106.3,4.8,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.502,12.6,74.7
"7",FALSE,"2014-15",2015,"https://www.basketball-reference.com/leagues/NBA_2015.html","Houston Rockets",TRUE,56,26,50,32,3.44,0.223,0.208,"Toyota Center",747412,18230,"HOU","https://www.basketball-reference.com/teams/HOU/2015.html",1610612745,"https://stats.nba.com/media/img/teams/logos/HOU_logo.svg",27.6,0.38,3.82,107,103.4,3.6,96.5,0.312,0.392,0.548,0.512,15,26.8,0.486,14.6,72.9
"8",FALSE,"2014-15",2015,"https://www.basketball-reference.com/leagues/NBA_2015.html","Memphis Grizzlies",TRUE,55,27,50,32,3.24,0.214,0.183,"FedEx Forum",710502,17329,"MEM","https://www.basketball-reference.com/teams/MEM/2015.html",1610612763,"https://stats.nba.com/media/img/teams/logos/MEM_logo.svg",29.6,0.38,3.62,105.7,102.2,3.5,92,0.276,0.184,0.531,0.489,12.6,24.7,0.492,14.5,75.3
"9",FALSE,"2014-15",2015,"https://www.basketball-reference.com/leagues/NBA_2015.html","Dallas Mavericks",TRUE,50,32,49,33,2.9,0.197,0.204,"American Airlines Center",827702,20188,"DAL","https://www.basketball-reference.com/teams/DAL/2015.html",1610612742,"https://stats.nba.com/media/img/teams/logos/DAL_logo.svg",29.9,0.46,3.36,109.5,106.4,3.1,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.503,14.7,72.2
"10",FALSE,"2014-15",2015,"https://www.basketball-reference.com/leagues/NBA_2015.html","Chicago Bulls",TRUE,50,32,50,32,3,0.238,0.182,"United Center",886612,21625,"CHI","https://www.basketball-reference.com/teams/CHI/2015.html",1610612741,"https://stats.nba.com/media/img/teams/logos/CHI_logo.svg",28.8,-0.46,2.54,107.5,104.3,3.2,92.8,0.304,0.269,0.536,0.489,12.9,27,0.473,11.3,74.4
"11",FALSE,"2014-15",2015,"https://www.basketball-reference.com/leagues/NBA_2015.html","Oklahoma City Thunder",FALSE,45,37,47,35,2.18,0.214,0.213,"Chesapeake Energy Arena",746323,18203,"OKC","https://www.basketball-reference.com/teams/OKC/2015.html",1610612760,"https://stats.nba.com/media/img/teams/logos/OKC_logo.svg",25.4,0.28,2.47,107.8,105.5,2.3,95.7,0.284,0.262,0.532,0.492,13.1,28.9,0.489,12.4,75.6
"12",FALSE,"2014-15",2015,"https://www.basketball-reference.com/leagues/NBA_2015.html","Toronto Raptors",TRUE,49,33,49,33,3.07,0.232,0.208,"Air Canada Centre",809824,19752,"TOR","https://www.basketball-reference.com/teams/TOR/2015.html",1610612761,"https://stats.nba.com/media/img/teams/logos/TOR_logo.svg",26.1,-0.62,2.45,111,107.7,3.3,92.8,0.295,0.302,0.553,0.508,12,25.6,0.506,13.4,73.3
"13",FALSE,"2014-15",2015,"https://www.basketball-reference.com/leagues/NBA_2015.html","New Orleans Pelicans",TRUE,45,37,43,39,0.79,0.198,0.195,"Smoothie King Center",683757,16677,"NOP","https://www.basketball-reference.com/teams/NOP/2015.html",1610612740,"https://stats.nba.com/media/img/teams/logos/NOP_logo.svg",25.3,0.34,1.13,108.2,107.3,0.9,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.496,11.7,75.1
"14",FALSE,"2014-15",2015,"https://www.basketball-reference.com/leagues/NBA_2015.html","Utah Jazz",FALSE,38,44,42,40,0.22,0.214,0.199,"EnergySolutions Arena",772059,18831,"UTA","https://www.basketball-reference.com/teams/UTA/2015.html",1610612762,"https://stats.nba.com/media/img/teams/logos/UTA_logo.svg",23.4,0.49,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531,0.494,14.6,29.1,0.491,12.8,76.3
"15",FALSE,"2014-15",2015,"https://www.basketball-reference.com/leagues/NBA_2015.html","Washington Wizards",TRUE,46,36,43,39,0.72,0.192,0.21,"Verizon Center",747796,18239,"WAS","https://www.basketball-reference.com/teams/WAS/2015.html",1610612764,"https://stats.nba.com/media/img/teams/logos/WAS_logo.svg",28.6,-0.55,0.17,103.7,103,0.7,93.7,0.259,0.203,0.534,0.499,14,24.9,0.481,12.9,77.3
"16",FALSE,"2014-15",2015,"https://www.basketball-reference.com/leagues/NBA_2015.html","Milwaukee Bucks",TRUE,41,41,42,40,0.43,0.195,0.221,"BMO Harris Bradley Center",593910,14813,"MIL","https://www.basketball-reference.com/teams/MIL/2015.html",1610612749,"https://stats.nba.com/media/img/teams/logos/MIL_logo.svg",24.6,-0.52,-0.09,102.7,102.2,0.5,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.487,15.9,73.3
"17",FALSE,"2014-15",2015,"https://www.basketball-reference.com/leagues/NBA_2015.html","Indiana Pacers",FALSE,38,44,42,40,0.28,0.201,0.217,"Bankers Life Fieldhouse",691434,16864,"IND","https://www.basketball-reference.com/teams/IND/2015.html",1610612754,"https://stats.nba.com/media/img/teams/logos/IND_logo.svg",28.3,-0.51,-0.23,103.5,103.2,0.3,93.2,0.266,0.255,0.523,0.484,13.1,24,0.478,12,77.9
