Player.x,Team.x,Season.x,pos,Age.x,GP.x,W.x,L.x,Min.x,Offrtg,Defrtg,Netrtg,Ast_Pct,Ast_TO,Ast_Ratio,OREB_Pct,DREB_Pct,REB_Pct,To_Ratio,EFG_Pct,TS_Pct,USG_Pct,Pace,PIE,Screen_Assists,Screen_Assists_Pts,Deflections,Off_loose_balls_recovered,Def_loose_balls_recovered,loose_balls_recovered,Off_loose_balls_recovered_pct,Def_loose_balls_recovered_pct,Charges_drawn,Contested_2p_shots,Contested_3p_shots,Contested_shots,Pts_of_TOV,Second_pts,FBPS,PITP,OPP_pts_off_TO,OPP_Second_pts,OPP_FBPS,OPP_PITP,BLK,BLKA,PF,PFD,mp,per,tspercent,x3par,ftr,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,Salary,All_Star,FGM_0_8,FGA_0_8,FG._0_8,FGM_8_16,FGA_8_16,FG._8_16,FGM_16_24,FGA_16_24,FG._16_24,FGM_24_plus,FGA_24_plus,FG._24_plus,FGM_backcourt,FGA_backcourt,FG._backcourt
Aaron Brooks,MIN,2018,PG,33,32,19,13,5.9,98.5,115.7,-17.2,16.1,1.82,19,3.6,5.7,4.6,10.5,48.6,50.8,19.2,100.86,4.4,0,0.1,0.3,0.1,0.1,0.2,57.1,42.9,0.03,0.6,0.9,1.5,0.3,0.3,0.1,0.6,2.4,1.7,1.1,5.1,0,0.1,0.9,0.3,189,9.8,0.508,0.449,0.159,4.2,6.2,5.2,15.1,1.6,0,13,19.9,0.1,0.1,0.1,0.033,-0.8,-3.6,-4.3,-0.1,2116955,0,0.3,0.7,42.1,0.3,0.6,42.9,0.1,0.2,60,0.4,1,37.9,0,0.1,0
Aaron Gordon,ORL,2018,PF,22,58,19,39,32.9,106.3,108.3,-2,11.1,1.27,11.3,4.4,19.1,11.6,8.9,50,53,23.8,100.43,11.3,0.9,1.9,1.4,0.5,0.7,1.2,42.9,57.1,0.07,4.7,1.8,6.5,2.7,2.1,2.5,7.2,11.5,8.4,9,35.3,0.8,0.7,1.9,3.3,1909,16.5,0.53,0.395,0.26,5,21.5,13.2,11.7,1.5,1.9,10,24.7,0.9,2,2.9,0.072,0,0,0,1,5504419,0,3.3,5.3,62.3,0.7,2,35.1,0.5,1.7,27,2,5.9,33.7,0,0,0
Aaron Harrison,DAL,2018,SG,23,9,2,7,25.9,98.1,112.2,-14.1,7.2,3.67,12.1,1.5,9.1,4.9,3.3,34.1,39.2,14.7,98.98,2.2,0.1,0.3,2,0.2,0.7,0.9,25,75,0,3.3,3.2,6.6,0.8,1,1.2,1.6,7.2,6.7,7.2,25.3,0.2,0,3,1.4,233,5.1,0.392,0.623,0.246,1.8,9.9,5.7,6.7,1.9,0.8,3.8,15.5,-0.3,0.2,-0.1,-0.014,-3.6,-0.5,-4.1,-0.1,174570,0,0.7,1.2,54.5,0.2,0.7,33.3,0.2,1,22.2,1,4.8,20.9,0,0,0
Aaron Jackson,HOU,2018,PG,32,1,0,1,34.5,88.1,107.8,-19.8,5.3,1,8.3,5.6,3.1,4.4,8.3,38.9,40.5,14.9,91.13,-1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,11,6,7,36,0,1,4,3,35,2.4,0.405,0.444,0.222,6.5,3.2,4.8,4,0,0,9.2,13.7,0,0,0,-0.017,-4.6,-3,-7.7,-0.1,46079,0,1,4,25,1,1,100,0,0,0,1,4,25,0,0,0
Abdel Nader,BOS,2018,SF,24,48,33,15,10.9,97.1,107.3,-10.3,7.8,0.76,11.5,2.4,11.1,6.7,15,41.3,43.9,16.2,100.46,3.3,0.1,0.3,0.7,0.1,0.2,0.4,38.9,61.1,0,1.5,1.3,2.8,0.6,0.7,0.4,1,4.8,2.3,3,9.8,0.2,0.2,0.9,0.6,522,5.1,0.439,0.436,0.262,2.8,12,7.4,7.1,1.4,1.6,17,17.1,-0.9,0.8,-0.1,-0.014,-5.9,0.3,-5.6,-0.5,1167333,0,0.5,1.4,35.3,0,0.2,20,0,0.1,16.7,0.5,1.4,35.4,0,0,0
Adreian Payne,ORL,2018,PF,27,5,0,5,8.5,103.5,115.9,-12.4,0,0,0,4.4,22.6,11.8,13.3,80,83.1,15.5,98.15,12,0.4,0.8,1,0,0,0,0,0,0,1.2,0.2,1.4,1,1.2,0,1.2,3,3.2,2.6,8.4,0,0,1.2,1,43,18.8,0.831,0.3,0.6,5.1,18,11.5,0,2.3,0,13.7,15,0.1,0,0.2,0.203,0.1,-4.1,-4.1,0,77250,0,0.6,0.6,100,0,0,0,0.5,1,50,0.5,0.8,66.7,0,0,0
Al Horford,BOS,2018,C,32,72,47,25,31.6,108.9,101.6,7.3,22.5,2.57,26.6,4.7,17.8,11.5,10.3,55.3,57.5,18.3,97.23,13.4,2.7,6.5,1.3,0.4,0.4,0.8,52.6,47.4,0,8.8,3.5,12.3,1.8,1.1,0.5,5.7,10,7.2,6.8,28,1.1,0.4,1.9,1.9,2277,17.6,0.575,0.3,0.159,5,20.2,12.7,23.6,0.9,2.9,14.1,18.4,4,3.8,7.8,0.165,1.1,2.9,4,3.5,27734405,1,2.3,3.9,60,0.9,2.3,39.6,0.5,1.1,46.8,1.3,3.2,42.7,0,0,0
Al Jefferson,IND,2018,C,33,36,17,19,13.4,105.4,107.2,-1.8,9.8,1.43,11.1,6.1,22.7,14.4,7.7,53.4,56.3,21.8,98.07,13.5,1.4,2.9,0.9,0.1,0.3,0.3,25,75,0.06,4.2,0.6,4.8,0.9,0.8,0.1,4.3,3.6,3.8,3.3,12.6,0.6,0.5,1.8,0.9,484,20.2,0.563,0.014,0.173,7,26.2,16.7,10,1.7,4.2,8.6,22.5,0.8,0.8,1.6,0.158,-1.7,1.3,-0.5,0.2,9769821,0,1.6,2.8,57.8,1.1,1.9,59.7,0.3,1.1,32.4,0,0.1,0,0,0,0
Alan Williams,PHX,2018,PF,25,5,1,4,14.1,90.9,90.8,0.1,19.5,1.14,21.6,3.9,26,14.8,18.9,38.9,45.5,18.4,97.25,8.9,1.8,4,1,0,0.2,0.2,0,100,0,1.2,1,2.2,0.4,0.4,0,2.8,4.6,2.8,2.2,10.8,0.2,0.6,2.6,1.8,70,9.3,0.455,0,0.5,4.5,29.5,16.8,16.3,3.4,1.2,24.2,17.5,-0.1,0.1,0,-0.004,-6.5,2.8,-3.7,0,6.00E+06,0,1.4,2.8,50,0,0.8,0,0,0,0,0,0,0,0,0,0
Alec Burks,UTA,2018,SG,26,64,37,27,16.5,104.3,105.3,-1,10.4,1.12,11.3,1.9,16.8,9.4,10.1,46.7,52.7,22.1,98.03,10.1,0.1,0.1,0.9,0.1,0.4,0.6,22.2,77.8,0.02,1.6,1.4,3,1.5,0.6,0.9,3,5.8,3.6,3.1,14.8,0.1,0.4,1.2,1.5,1059,13.1,0.527,0.343,0.3,2.1,18.4,10.3,10,1.8,0.6,11.4,22.5,0.2,1.6,1.9,0.084,-2.5,-0.3,-2.8,-0.2,10845506,0,1.3,2.5,50.9,0.4,1.2,37.3,0.2,0.6,36.8,0.7,2.2,33.3,0,0,0
Alec Peters,PHX,2018,PF,23,20,2,18,11.2,108.9,101.7,7.3,7.3,3,12.9,3.2,12,7.6,4.3,50,52.3,15.1,102.68,7.1,0.3,0.8,0.5,0.1,0.2,0.3,33.3,66.7,0.1,1.6,1.4,3,0.3,0.3,0.6,0.8,2.8,2.8,2.8,9.8,0.1,0,0.7,0.5,225,10.7,0.523,0.784,0.135,3.7,14,8.8,7.9,0.4,0.7,4.9,15.5,0.2,0,0.3,0.055,-0.2,-3.1,-3.3,-0.1,77250,0,0.4,0.6,66.7,0,0.1,0,0.1,0.2,66.7,0.9,2.9,31,0,0,0
Alex Abrines,OKC,2018,SG,24,75,42,33,15.1,107.7,106.5,1.2,3.6,1.12,7.7,2.1,7.9,4.9,6.9,54,56.7,12.6,97.91,4.8,0.1,0.1,0.9,0.1,0.4,0.5,28.2,71.8,0.03,2,1.9,4,0.8,0.6,0.7,0.8,4.3,4.3,3.2,13.5,0.1,0.1,1.7,0.7,1134,9,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1,2.2,0.094,-0.5,-1.7,-2.2,-0.1,5725000,0,0.3,0.6,50,0.1,0.2,58.3,0,0.2,14.3,1.1,2.9,38.1,0,0,0
Alex Caruso,LAL,2018,PG,24,37,16,21,15.2,100.5,100.8,-0.3,18.5,1.79,30.4,2.6,8.6,5.6,17,48.7,51.9,12.8,102.64,6.2,0.1,0.2,1.2,0.2,0.3,0.6,40.9,59.1,0.08,2.1,1.6,3.7,0.6,0.4,0.7,1.8,5.6,3.8,4.3,15.7,0.3,0.2,1.4,1,562,8.7,0.519,0.371,0.259,2.9,9.4,6.2,17.8,2,1.4,24.5,12.9,-0.1,0.6,0.5,0.041,-3.4,0.5,-2.9,-0.1,77250,0,0.8,1.2,67.4,0.1,0.5,22.2,0.1,0.3,22.2,0.4,1.1,31,0,0,0
