Player.x,Team.x,Season.x,pos,Age.x,GP.x,W.x,L.x,Min.x,Offrtg,Defrtg,Netrtg,Ast_Pct,Ast_TO,Ast_Ratio,OREB_Pct,DREB_Pct,REB_Pct,To_Ratio,EFG_Pct,TS_Pct,USG_Pct,Pace,PIE,Screen_Assists,Screen_Assists_Pts,Deflections,Off_loose_balls_recovered,Def_loose_balls_recovered,loose_balls_recovered,Off_loose_balls_recovered_pct,Def_loose_balls_recovered_pct,Charges_drawn,Contested_2p_shots,Contested_3p_shots,Contested_shots,Pts_of_TOV,Second_pts,FBPS,PITP,OPP_pts_off_TO,OPP_Second_pts,OPP_FBPS,OPP_PITP,BLK,BLKA,PF,PFD,mp,per,tspercent,x3par,ftr,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,Salary,All_Star,FGM_0_8,FGA_0_8,FG._0_8,FGM_8_16,FGA_8_16,FG._8_16,FGM_16_24,FGA_16_24,FG._16_24,FGM_24_plus,FGA_24_plus,FG._24_plus,FGM_backcourt,FGA_backcourt,FG._backcourt
Alex Len,PHX,2018,C,25,69,20,49,20.2,101.8,110.4,-8.6,9.3,1.05,12.8,11.6,22.8,17.2,12.2,56.7,61.2,16.4,103.1,12.9,3.8,8.5,0.8,0.3,0.2,0.5,54.3,45.7,0,8.1,1.1,9.3,1.1,2.4,0.2,5.9,7.7,5.6,5.6,19.2,0.9,0.6,2.3,2.7,1395,19.4,0.612,0.008,0.611,13.2,26.7,19.8,9.1,0.9,3.5,14,17,3.2,1.3,4.5,0.154,-0.3,1.1,0.8,1,4187599,0,2.9,4.9,59.3,0.1,0.3,47.6,0,0.2,13.3,0,0,33.3,0,0,0
Alex Poythress,IND,2018,PF,24,25,10,15,4.2,102.8,115.8,-13,2.6,1,6.7,6.1,10.2,8,6.7,50,50,11.2,97.73,3.2,0.2,0.4,0.2,0,0.1,0.1,33.3,66.7,0,0.6,0.4,1,0.1,0,0.1,0.6,0.8,1.3,1.1,4.8,0,0,0.6,0.1,104,7.8,0.5,0.423,0,7.7,10.8,9.2,2.6,1.4,0.9,7.1,12,0.1,0.1,0.1,0.066,-2.3,-1.7,-4,-0.1,778668,0,0.3,0.5,58.3,0,0.1,0,0,0,0,0.2,0.5,36.4,0,0,0
Al-Farouq Aminu,POR,2018,PF,27,69,40,29,30,109.6,104.4,5.2,5.6,1.06,10.8,4.5,19.8,12.1,10.1,50.3,52.2,14.5,98.47,9,1.5,3.5,2.2,0.5,0.7,1.2,42.4,57.6,0,5.7,3,8.7,1.6,1.2,0.8,2.9,9,7.6,7.5,26.9,0.6,0.2,2,1.2,2072,12,0.522,0.582,0.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,0.097,-0.8,1.9,1.1,1.6,7319035,0,1.4,2.7,50.8,0.1,0.4,24,0.1,0.5,15.2,1.8,4.9,36.9,0,0,0
Alfonzo McKinnie,TOR,2018,SF,25,14,13,1,3.8,101.8,114,-12.3,2.7,0.33,5,2.2,9.8,6.6,15,63.3,64.3,15.8,102.4,5.2,0,0,0.1,0,0,0,0,0,0,0.5,0.3,0.8,0,0.1,0,0.6,1.1,1.6,0.4,3.7,0.1,0,0.6,0.2,53,10.1,0.643,0.6,0.2,2.2,12.4,7.4,2.7,0.9,1.5,15.5,16,0,0.1,0.1,0.084,-1.3,-1.8,-3.1,0,815615,0,0.3,0.4,80,0,0,0,0.1,0.1,100,0.3,0.8,33.3,0,0,0
Allen Crabbe,BKN,2018,SG,26,75,25,50,29.3,106.9,108.8,-1.9,8.2,1.5,11,1.2,13,7,7.3,52.9,55.8,18.3,100.98,8.4,0.2,0.6,1.5,0.3,0.6,0.9,33.8,66.2,0.01,3.5,2,5.5,2,1.2,1.1,2.5,9.7,8.4,6.9,29.6,0.5,0.3,2.2,1.3,2197,12.3,0.558,0.643,0.163,1.3,14.4,7.8,8.4,1,1.2,8.1,19,1.8,1.4,3.2,0.07,0.4,-1.2,-0.8,0.7,18500000,0,1,1.6,63.1,0.4,1.1,37.5,0.4,1.2,31.2,2.7,7,38.1,0,0.1,0
Amir Johnson,PHI,2018,C,31,74,47,27,15.8,102.5,101,1.5,13.7,2.15,25,10.2,16.9,13.6,11.7,55.8,57.5,12.5,103.67,8.8,2.5,5.5,1,0.4,0.3,0.7,60,40,0.08,4.7,0.8,5.5,0.6,1.1,0.2,3.4,6.6,3.7,3.7,14.2,0.6,0.4,2.6,1,1171,14.9,0.575,0.123,0.327,11.8,18.3,15.2,13.9,1.8,3.1,15.6,12.8,2.1,2,4.1,0.169,-0.2,3.1,2.9,1.5,1.10E+07,0,1.6,2.6,60.7,0.1,0.3,32,0,0.1,42.9,0.1,0.4,32.3,0,0,0
Andre Drummond,DET,2018,C,24,78,37,41,33.7,107,108,-1,14,1.19,15.8,14.5,32.9,23.4,13.4,52.9,55.5,20.7,97.79,15.6,4.7,10.2,3.2,0.6,0.6,1.2,50,50,0.01,9.2,2,11.2,2.2,5.3,1.2,11.7,11.2,8.2,7.6,31.4,1.6,0.8,3.2,4.3,2625,22.9,0.555,0.012,0.448,16.4,36.4,26.2,14.3,2.2,4.3,15.9,21.2,4.6,5.7,10.3,0.189,0.2,5.3,5.5,5,23775506,1,5.6,9.9,56.8,0.3,1.2,28,0,0,0,0,0.1,0,0,0.1,0
Andre Iguodala,GSW,2018,SF,34,64,46,18,25.4,109.1,101.3,7.9,16.9,3.13,33.1,3.3,10.9,7.4,10.6,51.4,53.6,11.2,101.15,8.1,0.7,1.7,1.4,0.5,0.7,1.2,40.8,59.2,0.02,2.7,2.3,5,1.2,0.5,1.5,2.9,10,7.1,6.5,24.4,0.6,0.2,1.5,1.5,1622,11.2,0.536,0.366,0.272,3.7,12.6,8.5,16.2,1.6,1.9,15.8,11.5,1.6,1.6,3.2,0.094,-0.7,0.9,0.2,0.9,14814815,0,1.4,2,69.5,0.2,0.5,32.4,0.2,0.6,36.6,0.5,1.8,29.2,0,0.1,0
Andre Ingram,LAL,2018,SG,32,2,1,1,32.1,109.2,95.1,14.1,14.9,2.33,25,1.6,7.2,4.6,10.7,61.8,65.5,13.6,106.28,9.9,0.5,1.5,1,0,1,1,0,100,1,3,4,7,0,1.5,1.5,2,7.5,4,1,35,1.5,0,1.5,2.5,64,16.3,0.655,0.529,0.176,1.7,8.3,5,15.3,2.2,3.8,14.1,14.1,0.1,0.1,0.2,0.157,0.4,0.9,1.3,0.1,46079,0,0,0.5,0,1.5,3.5,42.9,0,0,0,2.5,4.5,55.6,0,0,0
Andre Roberson,OKC,2018,SG,26,39,24,15,26.6,106.7,97.3,9.4,5.9,1.53,18,6.8,10.9,8.8,11.7,56.2,54.3,8.5,96.82,6.5,0.8,1.9,2.3,0.4,0.9,1.3,33.3,66.7,0.03,5,3.3,8.2,1.2,1.1,1.1,4.1,7.9,5.1,5.2,21.3,0.9,0.3,2.3,0.9,1037,10.9,0.543,0.222,0.235,7.8,12.2,9.9,6,2.2,3.1,14.4,8.6,0.8,1.3,2.2,0.1,-1.3,2.8,1.5,0.9,9259260,0,2,3.2,63.7,0,0,0,0,0,0,0.2,0.9,22.2,0,0,0
Andrew Bogut,LAL,2018,C,33,24,7,17,9,95.2,100.2,-5.1,9.9,0.79,25,10.4,22.3,16.2,31.7,68,69.6,8.5,101.59,8.1,1.3,2.8,0.3,0.1,0,0.2,75,25,0.08,2.5,0.5,3,0.2,0.9,0.1,1.3,3.5,2.7,2.3,7.8,0.5,0,1.7,0.3,216,10.9,0.696,0,0.08,12.9,25.4,19.2,9.1,0.9,4.9,42.3,8.8,0.1,0.3,0.4,0.094,-3.6,3.6,0,0.1,1078810,0,0.7,0.9,76.2,0,0.1,0,0,0,100,0,0,0,0,0,0
Andrew Harrison,MEM,2018,PG,23,56,17,39,23.7,101.3,108.5,-7.3,22.2,2.19,23.4,1.7,8.5,5.1,10.7,47.7,53.4,19.5,94.79,8.3,0.2,0.4,1.7,0.3,0.7,0.9,26.9,73.1,0.21,2.3,2.7,5,1.4,0.6,1.2,3.5,7.6,5.2,7.4,19.3,0.5,0.5,2.5,3,1326,12.7,0.534,0.331,0.371,2,9.7,5.7,21.3,1.4,1.8,14,19.6,1,0.7,1.7,0.062,-0.9,-1.5,-2.5,-0.2,1312611,0,1.6,2.9,54.9,0.3,0.9,28.3,0.5,1.3,41.4,0.8,2.5,33.1,0,0,0
Andrew White III,ATL,2018,SF,25,15,1,14,13.9,91.6,110.3,-18.6,5,0.75,6.8,1.6,13.3,7.2,9.1,46.6,46.1,16,103.53,4.9,0,0,0.3,0.2,0.5,0.7,30,70,0,0.9,1.6,2.5,0.7,0.4,0.9,0.8,6.3,3.9,4.1,12.3,0.1,0.1,0.8,0.4,209,5.8,0.461,0.671,0.055,2.1,16,9.1,4.3,0.7,0.4,9.7,17.3,-0.2,0.1,-0.1,-0.034,-4.2,-2.9,-7.1,-0.3,77250,0,0.3,0.9,38.5,0.1,0.2,33.3,0.1,0.6,12.5,1.2,3.3,36.7,0,0,0
Andrew Wiggins,MIN,2018,SF,23,82,47,35,36.3,112.5,108.9,3.5,8,1.16,9.2,2.8,9.4,6.1,7.9,48.1,50.5,22.8,97.56,7.6,0.2,0.5,1.7,0.5,0.6,1.1,41.6,58.4,0,4.3,4.7,9,2.8,1.9,1.8,8.2,11.1,9.7,9.9,33.8,0.6,0.8,2,2.9,2979,13,0.505,0.26,0.242,3.1,10.8,6.9,8.2,1.5,1.5,8.8,23.4,0.5,1.6,2.1,0.034,-1.1,-1.4,-2.5,-0.4,7574322,0,3.6,5.8,61.8,1,2.8,34.8,1,3.1,31.8,1.4,4.1,33.3,0,0,0
Ante Zizic,CLE,2018,C,21,32,21,11,6.7,105.7,114.9,-9.1,3.9,0.45,5.3,11.2,17.9,14.5,11.7,73.1,74.6,17.1,101.27,13.2,0.9,2.3,0.1,0,0.1,0.1,0,100,0,2.2,0.4,2.6,0.4,1,0,3,2.6,1.7,1.4,6.9,0.4,0.1,0.9,0.8,214,24.2,0.746,0,0.433,12.8,18.6,15.7,3.8,0.5,5.2,12.1,18.8,0.9,0.2,1,0.231,1.3,-1.2,0.1,0.1,1645200,0,1.5,2,78.2,0.2,0.4,45.5,0,0,100,0,0,0,0,0,0
Anthony Brown,MIN,2018,SF,25,1,0,1,3.7,120,90,30,33.3,0,50,0,0,0,0,150,150,10,128.57,22.9,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,4,2,0,0,0,0,0,0,4,41.9,1.5,1,0,0,0,0,41.7,0,0,0,11.1,0,0,0,0.571,17.1,-15,2.1,0,77250,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0
Anthony Davis,NOP,2018,PF,25,75,45,30,36.4,109.2,104.3,5,10.4,1.07,8.5,7,21.3,14.6,7.9,55.2,61.2,29.1,102.71,18.8,3.9,8.4,2.4,0.7,0.8,1.5,46.8,53.2,0.15,9.8,4.5,14.3,4.2,4.5,3.6,15.4,12.2,10.6,10.9,34.8,2.6,0.6,2.1,7.4,2727,28.9,0.612,0.111,0.409,7.7,24.8,16.5,10.8,2,5.6,8.6,30,8.8,4.9,13.7,0.241,2.8,2.3,5.2,4.9,23775506,1,6.8,10,68,1.8,4.3,42.9,1,3.1,33.9,0.7,2.1,34.8,0,0.1,0
Anthony Tolliver,DET,2018,PF,33,79,37,42,22.2,105.9,105,0.9,7.6,1.55,13.4,2.7,10.9,6.7,8.6,63.2,66.3,14.4,97.94,8.6,1.5,3.4,0.7,0.2,0.5,0.7,31.6,68.4,0.23,3.9,2.4,6.3,1.4,0.8,1,1.4,6.3,4.7,4.3,19,0.3,0.2,1.8,1.5,1757,13.9,0.663,0.773,0.282,3.1,12.3,7.6,7.5,0.9,1.1,9.9,14.8,3.8,1.5,5.3,0.146,2.3,-0.8,1.5,1.5,5290000,0,0.7,1.1,58.9,0.1,0.1,36.4,0,0.1,50,2,4.6,43.6,0,0,0
Antonio Blakeney,CHI,2018,SG,21,19,3,16,16.5,108.2,109.4,-1.3,9.6,1.82,10.6,1.1,8.9,4.9,5.8,42.3,47.1,22.7,99.24,6.4,0.1,0.2,0.6,0.1,0.2,0.3,20,80,0,1.8,2.2,4,1.2,0.6,2.3,2.2,4.3,3.7,3.4,14.3,0.1,0.5,1,1.3,314,10.1,0.471,0.364,0.273,1.3,10.3,5.6,10.1,1.1,0.3,6.4,23.7,-0.2,0.1,0,-0.006,-3.2,-3.6,-6.8,-0.4,77250,0,0.9,1.9,47.2,0.4,1.2,36.4,0.7,1.7,39.4,0.8,2.9,28.8,0,0,0
Antonius Cleveland,ATL,2018,SG,24,17,7,10,7.2,87.2,101.1,-13.9,2.5,0.29,6.1,2.2,8.5,5.2,21.2,45.2,48.6,10.7,102.83,0.5,0,0,0.9,0.1,0.1,0.2,66.7,33.3,0.06,0.7,0.5,1.2,0,0.1,0,0.2,2.2,2,1.8,6.6,0.3,0.1,1.4,0.3,123,4.5,0.486,0.19,0.286,2.7,10.2,6.3,2.2,2.8,3.6,22.8,11.1,-0.2,0.2,0,-0.006,-6.7,2.2,-4.5,-0.1,384116,0,0.1,0.4,33.3,0.1,0.2,33.3,0.2,0.6,25,0.2,0.3,75,0,0,0
Aron Baynes,BOS,2018,C,31,81,54,27,18.3,104.1,97.7,6.5,9.5,1.16,14.2,8.6,19.6,14.1,12.3,47.4,50.2,16.6,96.78,8.7,2.4,5.6,0.3,0.2,0.3,0.5,43.2,56.8,0.21,7.1,1.5,8.6,0.5,1.5,0,3.6,5.6,3.9,3.6,15.4,0.6,0.4,2.5,1.3,1485,12,0.502,0.047,0.175,9.7,22.1,16,9.6,0.7,2.9,14.3,16.8,0.5,2.5,3,0.097,-3.8,2.1,-1.7,0.1,4300000,0,1.5,3,51,0.6,1.3,45.3,0.4,1,46.1,0,0.3,14.3,0,0,0
Arron Afflalo,ORL,2018,SG,32,53,16,37,12.9,100.9,107.6,-6.8,6.6,1.43,13.3,0.6,8.2,4.6,9.3,48.5,51.6,12.7,97.79,4.2,0.1,0.2,0.1,0.1,0.1,0.2,27.3,72.7,0,1.5,1.3,2.9,0.6,0.2,0.3,0.8,4.9,3.6,3.4,12.2,0.2,0.2,1.1,0.5,682,5.8,0.516,0.432,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,0.009,-4.1,-1.8,-5.8,-0.7,5328652,0,0.3,0.5,57.1,0.2,0.6,40.6,0.2,0.6,27.3,0.5,1.3,40.3,0,0.1,0
Austin Rivers,LAC,2018,SG,25,61,30,31,33.7,110,111.6,-1.7,17.9,2.22,19.8,1.3,5.8,3.5,8.9,50.8,52.6,20.6,97.78,7.3,0.1,0.3,2,0.3,0.8,1.1,31.3,68.7,0.05,3,1.9,4.8,2,1.2,1,6.4,11.9,8.7,11.1,32.7,0.3,0.9,2.5,2.2,2057,12.6,0.526,0.447,0.198,1.5,6.2,3.9,17.5,1.7,0.6,11.1,20.6,1.4,1,2.4,0.056,0.8,-1.7,-0.9,0.6,11825000,0,2.9,5.6,51.6,0.4,1.4,27.1,0.1,0.3,31.6,2.2,5.9,37.8,0,0,0
Avery Bradley,LAC,2018,SG,27,46,22,24,31.2,104,108.3,-4.2,10.5,0.93,11,1.4,6.8,4,11.8,47.4,49.6,22.9,97.72,6,0.3,0.6,1.9,0.4,0.5,0.9,46.3,53.7,0.11,2,3,5,2.8,1.5,1.8,5.1,10.1,7.1,6.9,29,0.2,1.2,2,1.9,1268,9.7,0.497,0.34,0.14,1.6,6.7,4.1,10.5,1.8,0.5,13.3,24.4,-1.4,1.1,-0.2,-0.009,-2.7,-1.5,-4.2,-0.7,8808989,0,2.3,4.5,52.2,0.6,1.7,34.6,1.1,3,35.8,1.6,4.4,36.9,0,0,0
Bam Adebayo,MIA,2018,C,20,69,34,35,19.8,101.9,102.6,-0.6,11.5,1.53,17.2,8.6,19.4,14,11.3,51.2,57,15.7,96.29,11.1,2.9,6.5,1.1,0.3,0.3,0.7,47.8,52.2,0.01,4.8,1.8,6.7,0.8,1.4,0.5,4.7,6.9,4.6,4.4,17.7,0.6,0.4,2,2.5,1368,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11,1.2,2.5,13.6,15.9,2.3,1.9,4.2,0.148,-1.6,1.8,0.2,0.8,2490360,0,2.3,4.1,56.7,0.2,0.5,29.7,0,0.2,21.4,0,0,0,0,0.1,0
Ben McLemore,MEM,2018,SG,25,56,7,49,19.5,97.9,111.4,-13.5,7.8,0.84,10,3,10.1,6.4,11.9,49.5,52.6,18.2,97.99,5.6,0.1,0.2,1.3,0.3,0.4,0.8,45.2,54.8,0.04,1.6,1.8,3.4,1.6,1,1.3,2.7,8.5,4.8,6.2,17.4,0.3,0.3,2.5,1.2,1091,9.7,0.526,0.426,0.172,3.5,11.4,7.4,7.5,1.8,1.3,13.2,19,-0.2,0.7,0.5,0.023,-2.1,-1.4,-3.6,-0.4,5200000,0,1.2,2.4,52.3,0.2,0.5,46.4,0.4,1,36.4,1,2.8,35,0,0,0
Ben Moore,IND,2018,PF,23,2,1,1,4.6,95.2,175,-79.8,11.1,0,100,0,16.7,5.9,0,0,0,0,106,-4.1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,4,1,9.5,4,0,0,2,0.5,9,-2.3,0,0,0,0,12.5,6.3,13.1,0,0,0,0,0,0,0,0.072,-5.3,0.3,-5,0,77250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Simmons,PHI,2018,PG,21,81,51,30,33.7,109.5,102.9,6.6,36.2,2.38,31.6,5.3,17.1,11.5,13.3,54.5,55.7,21.9,101.77,15.4,0.8,1.8,2.9,0.9,0.9,1.8,50,50,0.04,4.4,3.8,8.2,2.9,1.7,2,12.7,12.8,8.7,6.9,29,0.9,0.6,2.6,3.9,2732,20,0.557,0.011,0.342,5.9,19.5,13,37.4,2.5,2.1,19.5,22.3,4.2,5,9.2,0.162,1,3.6,4.6,4.6,6168840,0,5.5,8.7,63.4,1,3.1,33.6,0.1,0.4,37.9,0,0,0,0,0.1,0
Bismack Biyombo,ORL,2018,C,25,82,25,57,18.2,97.9,111.4,-13.6,7,0.79,11.5,9.1,20.9,14.9,14.7,52,55.6,14.6,97.92,9.8,2.7,6,0.5,0.3,0.2,0.6,55.6,44.4,0.01,6,1.1,7.1,0.7,1.5,0.2,4.1,7.1,5.7,5,18.3,1.2,0.5,1.9,1.9,1495,14.1,0.556,0.003,0.446,10.5,24,17.2,6.5,0.7,5.1,16.6,14.9,1.1,1.8,2.9,0.094,-3.7,2.1,-1.6,0.2,1.70E+07,0,2,3.4,58.3,0.2,0.8,29,0,0.1,27.3,0,0,0,0,0,0
