Player.x,Team.x,Season.x,pos,Age.x,GP.x,W.x,L.x,Min.x,Offrtg,Defrtg,Netrtg,Ast_Pct,Ast_TO,Ast_Ratio,OREB_Pct,DREB_Pct,REB_Pct,To_Ratio,EFG_Pct,TS_Pct,USG_Pct,Pace,PIE,Screen_Assists,Screen_Assists_Pts,Deflections,Off_loose_balls_recovered,Def_loose_balls_recovered,loose_balls_recovered,Off_loose_balls_recovered_pct,Def_loose_balls_recovered_pct,Charges_drawn,Contested_2p_shots,Contested_3p_shots,Contested_shots,Pts_of_TOV,Second_pts,FBPS,PITP,OPP_pts_off_TO,OPP_Second_pts,OPP_FBPS,OPP_PITP,BLK,BLKA,PF,PFD,mp,per,tspercent,x3par,ftr,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,Salary,All_Star,FGM_0_8,FGA_0_8,FG._0_8,FGM_8_16,FGA_8_16,FG._8_16,FGM_16_24,FGA_16_24,FG._16_24,FGM_24_plus,FGA_24_plus,FG._24_plus,FGM_backcourt,FGA_backcourt,FG._backcourt
Al-Farouq Aminu,POR,2019,PF,28,81,52,29,28.3,116.3,108.2,8.2,5.7,1.44,12.3,4.8,20.4,12.7,8.5,51.4,56.8,13.4,101.22,9.7,1,2.3,1.9,0.5,0.5,1,53.8,46.3,0.02,4.4,3,7.4,1.5,1.6,1.3,3.8,8.2,7.9,7.9,28.2,0.4,0.4,1.8,1.8,2292,13.2,0.568,0.472,0.292,5.3,22.6,14.2,6,1.4,1.2,9.7,13.7,3,2.8,5.8,0.121,0.1,0.8,0.9,1.7,6957105,0,1.9,3.2,57.3,0.1,0.3,20,0.1,0.3,22.2,1.2,3.4,34.4,0,0,0
Alfonzo McKinnie,GSW,2019,SF,26,72,53,19,13.9,108.8,107.9,0.9,4.1,1.03,8.7,7.5,15.2,11.4,8.4,56.4,56.9,13.1,103.91,6.5,0.2,0.6,0.6,0.2,0.3,0.4,40.6,59.4,0.03,1.5,1.6,3.1,0.6,0.9,0.9,2.4,4.9,3.8,4.6,14.2,0.2,0.3,1.9,0.7,1003,11.2,0.569,0.429,0.175,9,16.9,13.1,4,0.9,1.3,9.2,13.9,1.2,0.9,2.1,0.1,-0.9,-1.5,-2.5,-0.1,1349383,0,1.1,1.8,63.1,0.1,0.2,42.9,0.1,0.2,30.8,0.6,1.6,35.6,0,0,0
Alize Johnson,IND,2019,PF,23,14,9,5,4.6,110.7,112.2,-1.6,1.8,0,4.8,5.1,19.2,12.2,0,28.1,33.3,11.6,110.63,3.6,0.1,0.4,0.2,0,0.1,0.1,0,100,0,1,1.1,2.1,0.1,0.5,0,0.4,1.3,2.7,2.4,5,0.2,0.1,0.5,0.3,64,6.3,0.333,0.125,0.5,7.1,25.5,16.5,2,0.8,4.2,0,13.3,-0.1,0.1,0,0.027,-8.3,0.2,-8.1,-0.1,838464,0,0.1,0.5,28.6,0.1,0.5,20,0,0.2,0,0.1,0.2,50,0,0,0
Allen Crabbe,BKN,2019,SG,27,43,19,24,26.4,106.5,106.2,0.3,5.9,1,9.5,1.3,10.8,6,9.5,49.9,51.9,15.9,102.62,5.5,0.1,0.3,1,0.1,0.4,0.6,25,75,0,2.7,1.8,4.5,1.1,0.8,1.4,1.3,9.7,8.7,5.9,26.3,0.3,0.2,2.4,0.9,1133,7.7,0.519,0.694,0.15,1.5,12.2,6.9,5.8,1,0.9,10.4,16.4,-0.2,1,0.8,0.035,-1.9,-0.5,-2.5,-0.1,19332500,0,0.5,1.2,44,0.3,0.6,45.8,0.2,1,17.1,2.3,6,37.9,0,0.1,0
Allonzo Trier,NYK,2019,SG,23,64,13,51,22.8,102.1,109.3,-7.2,13.1,1.03,13.9,2,10.7,6.3,13.6,49.8,56.4,20.7,101.44,9,0.1,0.2,0.8,0.3,0.4,0.8,41.7,58.3,0.05,2.2,1.9,4.1,1.7,0.9,1.5,4.2,8.3,7.4,5.6,24.5,0.2,1,1.8,2.8,1459,12.2,0.564,0.255,0.431,2.2,12.2,7.1,12.9,0.9,0.8,15.8,21.5,0.4,0.5,0.9,0.03,-2.2,-2,-4.2,-0.8,3382000,0,1.9,3.5,53.7,0.4,1.1,35.3,0.5,1.4,37.4,0.8,2.1,39.4,0,0,0
Amile Jefferson,ORL,2019,PF,26,12,9,3,5.7,124.3,115.5,8.8,5.2,3,12.5,8.2,25,15.8,4.2,62.5,69.2,12.5,104.09,11.1,1.3,3.3,0.3,0.1,0.2,0.3,33.3,66.7,0,1.6,0.7,2.3,0.5,0.7,0.3,1.7,0.5,0.9,1.9,5.8,0.3,0.1,0.7,0.3,68,21.1,0.692,0,0.5,9.3,24,16.5,6.4,2.2,3.7,4.9,13.1,0.2,0.1,0.4,0.258,-0.2,2.3,2.1,0.1,77250,0,0.8,1.3,62.5,0,0,0,0,0,0,0,0,0,0,0,0
Amir Johnson,PHI,2019,C,32,51,32,19,10.4,104.7,109.7,-5,15.6,1.33,21.4,8.4,18.5,13.3,16.1,54.1,57.4,16.9,105.63,8,1.5,3.5,0.7,0.2,0.1,0.3,58.8,41.2,0.04,3.3,0.8,4.1,0.5,0.8,0.3,2.5,4.1,2.5,3,11.5,0.3,0.1,1.9,0.9,529,13.1,0.574,0.255,0.261,9.7,19.5,14.7,16,1.4,1.9,20.5,17.4,0.4,0.7,1.1,0.098,-1.4,0.6,-0.7,0.2,2393887,0,1.3,2.1,61,0,0.2,22.2,0,0.1,33.3,0.2,0.8,30.8,0,0,0
Andre Drummond,DET,2019,C,25,79,40,39,33.5,111.7,108.4,3.3,6.8,0.64,7.3,15.1,31.1,22.8,11.5,53.6,55.5,22.6,98.15,15.9,3.8,8.4,2.9,0.6,0.7,1.3,47.5,52.5,0.01,10.1,2.9,13,3.1,5.5,1.2,13.8,10.9,8.1,8.6,34.4,1.7,1.1,3.4,4.1,2647,23.4,0.555,0.036,0.392,16.8,34.7,25.4,7.2,2.5,4.4,12.4,22.9,4.1,5.9,10,0.181,-0.7,3.6,2.9,3.3,25434262,0,6.7,11.8,57.3,0.3,1,30.8,0,0.1,0,0.1,0.4,16.1,0,0.1,0
Andre Iguodala,GSW,2019,SF,35,68,47,21,23.2,113.4,104.4,9,17.3,4.15,36,3.1,11.7,7.6,8.7,57.9,58.7,10.1,103.23,9,0.7,1.6,1.7,0.4,0.7,1.1,36.8,63.2,0.03,2.5,1.9,4.5,1.2,0.4,1.2,2.8,7.8,6.1,6.5,21.6,0.8,0.1,1.4,1.2,1578,13.1,0.587,0.477,0.222,3.4,13.2,8.5,16.8,1.8,2.7,13.6,10.4,2.4,1.8,4.2,0.129,0.2,1.7,1.9,1.6,1.60E+07,0,1.4,1.7,79.3,0.1,0.3,23.8,0.1,0.3,28.6,0.7,2.1,33.6,0,0,0
Andre Ingram,LAL,2019,SG,33,4,1,3,3.7,97.1,87.5,9.6,0,0,0,5.9,5.3,5.6,14.3,0,0,18.4,108.3,-9.3,0,0,0.3,0.3,0,0.3,100,0,0,0.5,0.3,0.8,0,0,0,0,0.5,1,0.5,2.5,0,0,0,0.3,15,-11.9,0,0.5,0,7,6.7,6.9,0,3.1,0,14.3,19.3,-0.1,0,-0.1,-0.408,-16.9,-3,-19.9,-0.1,76236,0,0,0.3,0,0,0.3,0,0,0.3,0,0,0.8,0,0,0,0
Andrew Bogut,GSW,2019,C,34,11,8,3,12.2,114.3,110.5,3.9,10.4,1.38,19.6,10,29.7,20.8,14.3,50,52.3,14.8,102.35,9.2,2.1,4.9,0.4,0.1,0,0.1,100,0,0.27,4.2,0.6,4.7,0.2,0.9,0,3.1,4.1,2.7,4.5,10.5,0.7,0.1,2,0.7,134,13.4,0.523,0,0.083,10,32.8,21.9,10.6,1.1,5,17.7,14.5,0.1,0.2,0.3,0.111,-4.3,3.1,-1.3,0,486892,0,1.3,2.3,56,0.4,0.9,40,0,0.1,0,0,0,0,0,0,0
Andrew Harrison,NOP,2019,PG,24,17,6,11,10.9,103.2,108.7,-5.5,19.4,2,24.7,3.2,7.4,5.3,12.4,34.9,44.3,17.1,97.79,2.5,0.1,0.1,0.9,0.2,0.1,0.3,66.7,33.3,0.18,0.9,1.2,2.2,0.8,0.2,0.3,1.2,4.9,2.2,2.9,9.5,0.1,0.1,2,1.1,5,4.6,0.5,0.5,0,0,0,0,0,0,0,0,17.9,0,0,0,-0.013,-4.1,-6.2,-10.3,0,354500,0,0.5,1,47.1,0.2,0.4,50,0,0.3,0,0.3,1.4,20.8,0,0.1,0
Andrew Wiggins,MIN,2019,SF,24,73,31,42,34.8,110.7,111.9,-1.2,10.8,1.33,11.1,3.1,9.9,6.5,8.3,46.1,49.3,24,101.57,7.8,0.1,0.2,1.7,0.6,0.6,1.3,49.5,50.5,0,4.5,4.4,8.9,2.4,1.7,1.9,7.4,11.1,11.1,9.8,35.4,0.7,1.2,2.1,3.1,2543,12.4,0.493,0.288,0.245,3.5,11.4,7.4,10.9,1.3,1.6,9.3,24.4,-0.6,1.3,0.6,0.012,-1.7,-1.3,-2.9,-0.6,25467250,0,3.4,6.4,53.3,0.8,2.5,33.9,1,3,32.9,1.6,4.7,34.2,0,0,0
Anfernee Simons,POR,2019,SG,20,20,17,3,7,104.5,122.1,-17.6,13.5,1.18,13.7,2.2,6.7,4.6,11.6,52.4,53.5,24,105.22,6,0,0,0.2,0.1,0,0.1,100,0,0,1.1,0.9,2,0.5,0.3,0.5,1.2,4.1,2.5,2.4,7.9,0,0.2,0.5,0.5,141,11.1,0.535,0.46,0.254,2.3,7.4,4.9,13.7,0.3,0,13.6,24.3,0,0,0.1,0.02,-1.6,-4.7,-6.3,-0.2,1837800,0,0.5,0.9,58.8,0.2,0.6,40,0.3,0.5,57.1,0.5,1.5,34.5,0,0,0
Angel Delgado,LAC,2019,C,24,2,0,2,7.4,75.8,68.8,7,0,0,0,8.3,14.3,10.5,0,20,25.5,15,105.64,0,0.5,1,0.5,0,0,0,0,0,0,2.5,0,2.5,0,0.5,0,1,1,0,2,8,0,1,1,0.5,15,4.3,0.255,0,0.4,14.6,13.7,14.1,0,3.1,0,0,16.5,0,0,0,-0.055,-8.7,-4,-12.7,0,77250,0,0.5,2.5,20,0,0,0,0,0,0,0,0,0,0,0,0
Ante Zizic,CLE,2019,C,22,59,13,46,18.3,106.3,110.2,-3.9,7.5,0.87,10.5,9.7,19.3,14.4,12.1,55.3,59,17.8,99.35,10.3,2.7,6,0.3,0.2,0.3,0.5,43.3,56.7,0,5.5,1.1,6.6,1,2.4,0.4,5.7,6.2,4.5,5.8,18.8,0.4,0.6,1.9,2.1,1082,16.2,0.59,0,0.399,10.6,22.8,16.4,7.7,0.6,1.8,13.6,18.2,1.7,0.3,2,0.087,-1.7,-1.4,-3.1,-0.3,1952760,0,2.7,4.5,58.6,0.4,0.8,44.9,0.1,0.2,28.6,0,0,0,0,0,0
Anthony Davis,NOP,2019,C,26,56,25,31,33,113.5,110.1,3.4,18.6,1.95,14.1,8.9,24.9,17,7.3,54,59.7,28.8,103.73,19.7,3.4,7.4,2.7,0.7,0.8,1.6,46,54,0.11,8.8,3.4,12.2,4.4,4.8,2.8,14.3,11.7,8.7,10.6,33.8,2.4,0.7,2.4,6.6,1850,30.3,0.597,0.141,0.422,9.9,27.5,18.8,19,2.2,6,8.4,29.5,6.4,3.1,9.5,0.247,4.7,3.9,8.5,4.9,25434263,1,6.3,9.6,65.9,1.5,3.9,39,0.8,2.2,33.9,0.9,2.6,33.3,0,0,0
Anthony Tolliver,MIN,2019,PF,34,65,27,38,16.6,104.5,108.6,-4.1,5.9,1.28,12.6,1.2,14.3,7.5,9.9,53.9,57.1,12.1,102.57,6.4,0.6,1.3,0.4,0.1,0.3,0.3,30.4,69.6,0.22,2,1.6,3.6,0.8,0.5,0.7,0.4,4.7,5.2,3.8,16.2,0.3,0.1,1.4,0.8,1079,8.6,0.571,0.83,0.232,1.5,16.2,8.8,5.5,0.8,1.7,11.2,12.5,0.6,0.5,1.2,0.052,-1.2,-1,-2.2,-0.1,5750000,0,0.2,0.5,43.3,0,0.1,14.3,0.1,0.1,66.7,1.2,3.3,37.5,0,0,0
Antonio Blakeney,CHI,2019,SG,22,57,14,43,14.5,102.9,110.8,-7.8,7.9,1.2,8.3,0.8,11.4,6.1,6.9,46.5,48.7,24,101.32,7.3,0,0,0.3,0.1,0.2,0.3,42.1,57.9,0,1.2,1.4,2.6,0.9,0.4,0.8,3.2,4.6,3.8,4,14.9,0.2,0.5,0.7,0.9,829,10.6,0.487,0.23,0.192,0.9,13.1,6.9,8.2,0.7,0.9,7.5,24.5,-0.8,0.3,-0.5,-0.03,-4.7,-3.7,-8.4,-1.3,1349383,0,1.1,1.9,56,0.7,2.2,34.2,0.6,1.5,37.7,0.6,1.6,39.3,0,0,0
Aron Baynes,BOS,2019,C,32,51,32,19,16.1,110,102.2,7.7,9.2,1.43,16.3,10.3,17.5,13.9,11.5,51.8,56.7,14.7,102.92,8.3,3.1,7.2,0.4,0.2,0.1,0.3,60,40,0.35,5.9,1.6,7.6,0.7,1.5,0.2,3,5.4,4.1,4.3,15.3,0.7,0.2,2.5,1.9,821,14,0.567,0.274,0.278,11.4,19.8,15.6,9.3,0.7,3.7,13.8,15.2,1.3,1.1,2.4,0.139,-1.2,1.4,0.2,0.5,5193600,0,1.4,2.6,52.6,0.2,0.4,57.1,0,0.2,25,0.4,1.2,34.4,0,0,0
Austin Rivers,HOU,2019,SG,26,76,45,31,26.7,111.6,109.1,2.5,12,2.46,19.7,1.2,6.5,3.8,8,49.7,50.3,14.2,101.1,4.2,0.1,0.3,1.2,0.2,0.5,0.7,26,74,0.07,3,1.7,4.6,1.8,0.5,0.9,3.3,8.8,7.7,8.3,28.2,0.3,0.3,2.7,1.4,1345,8.2,0.511,0.585,0.13,1.2,6.4,3.7,11.7,1.1,0.8,7.4,13.9,0.8,0.6,1.4,0.05,-1.4,-1.5,-2.9,-0.3,13155324,0,1.5,2.7,53.8,0.2,0.5,40,0,0,100,1.4,4.3,32,0,0,0
Avery Bradley,MEM,2019,SG,28,63,31,32,30.2,108.7,110.2,-1.5,11.4,1.71,17.5,2.2,6.5,4.4,10.2,47.9,49.6,16,101.13,4.7,0.1,0.4,1.6,0.5,0.5,0.9,49.2,50.8,0.06,2.5,2.2,4.7,1.5,1,1.2,2.4,11.3,8.5,10.5,31.5,0.3,0.8,2.7,1.1,1905,7.6,0.496,0.403,0.082,2.5,7.3,4.9,11.8,1,0.7,12.4,16.2,-0.6,1,0.3,0.009,-1.7,-1,-2.8,-0.4,1.20E+07,0,1,2.3,45.1,0.3,1,36.1,1.2,2.6,46.9,1.4,3.8,35.8,0,0,0
Bam Adebayo,MIA,2019,C,21,82,39,43,23.3,105,104.5,0.5,14.6,1.52,20.7,8.3,22.1,15.1,13.6,57.9,62.3,15.7,99.5,13.3,3,6.8,1.4,0.5,0.3,0.7,65,35,0,5.8,1.9,7.8,1.5,2,0.9,6.4,8.3,6.2,5.5,20.3,0.8,0.4,2.5,2.8,1913,17.9,0.623,0.031,0.465,9.2,24,16.6,14.2,1.8,3,17.1,15.8,3.4,3.4,6.8,0.171,-0.6,3.6,3,2.4,2955840,0,3,4.6,64.4,0.4,1,36.3,0.1,0.2,40,0,0.2,23.1,0,0,0
Ben McLemore,SAC,2019,SG,26,19,7,12,8.3,105.5,109,-3.5,3.5,0.8,5.1,1.8,8.9,5.3,6.4,52.3,54.1,18.5,110.54,5,0.1,0.1,0.3,0.1,0.1,0.1,50,50,0.05,0.9,0.5,1.4,0.6,0.2,1,0.4,2.9,2.6,2.9,8.9,0.2,0.2,1.2,0.4,158,10.5,0.541,0.641,0.188,1.9,9.4,5.5,3.4,1.8,1.6,6.7,19.4,0.1,0.1,0.2,0.055,-1.1,-2.6,-3.7,-0.1,5460000,0,0.2,0.6,36.4,0,0.2,0,0.2,0.5,44.4,0.9,2.1,42.5,0,0.1,0
Ben Simmons,PHI,2019,PG,22,79,50,29,34.2,111.3,108.9,2.4,34.1,2.23,30,6.2,17.9,12.2,13.5,56.3,58.2,21.5,103.99,14.5,1.7,4.3,2.7,0.8,0.9,1.7,48.5,51.5,0,3.7,2.9,6.5,2.4,2.2,3.3,13.3,13.4,8.7,11.1,37.6,0.8,0.7,2.6,4.7,2700,20,0.582,0.006,0.446,6.9,20,13.7,34.2,2,1.8,19.3,22.1,4.6,3.6,8.2,0.146,1.4,2.6,4.1,4.1,6434520,1,6.2,10.1,61.6,0.6,1.7,33.8,0,0.2,10.5,0,0.1,0,0,0,0
Billy Garrett,NYK,2019,SG,24,4,1,3,15.9,97.8,106.4,-8.6,18.9,3.5,18.4,0,4.1,2.2,5.3,40.7,45.2,21.5,104.42,6.3,0,0,1.5,0,0.5,0.5,0,100,0.25,0.5,1.3,1.8,0,0,0,4,4,3.3,2.5,13.5,0.3,0,0.8,1,63,9.8,0.452,0.296,0.148,0,5.1,2.5,18,0.8,1.3,6.5,20.9,0,0,0,-0.019,-4,-4.4,-8.4,-0.1,67370,0,1.3,1.5,83.3,1.3,2.3,55.6,0.3,1,25,0,2,0,0,0,0
Bismack Biyombo,CHA,2019,C,26,54,24,30,14.5,104.1,111.8,-7.7,6.4,0.97,12.5,9.9,20.5,15.1,12.9,57.1,60.2,12.8,98.68,8.5,2.2,5.1,0.3,0.3,0.1,0.4,66.7,33.3,0.02,4.9,1.2,6.1,0.5,1.1,0.1,3.1,3.9,4,4.4,14.4,0.8,0.4,1.9,1.5,783,14.4,0.602,0,0.583,11,23.3,17,5.9,0.7,4.6,14.8,12.7,1.2,0.8,2,0.125,-2.5,1.5,-1.1,0.2,1.70E+07,0,1.4,2.3,60.8,0.2,0.5,45.8,0,0.1,28.6,0,0,0,0,0,0
BJ Johnson,SAC,2019,SF,23,7,2,5,7.1,102.8,115.3,-12.6,0,0,0,3.8,15,8.6,9.5,58.3,60.9,17.8,106.99,7.4,0,0,0.3,0.3,0,0.3,100,0,0,0.6,0.4,1,0.9,0,1.3,0.9,2.9,1.9,1.1,9.7,0,0.3,0.6,0.3,6,3.7,0.5,0.5,0,0,0,0,0,0,0,0,13.8,0,0,0,-0.008,-3.6,-5.1,-8.7,0,142111,0,0.3,0.7,40,0.8,1,75,0.2,0.3,50,0.4,0.9,50,0,0.2,0
Blake Griffin,DET,2019,PF,30,75,39,36,35,109.8,109.3,0.5,26.8,1.59,18,3.6,18.2,10.5,11.3,53.2,58.1,29.6,98.63,15.3,2.3,5.6,1.4,0.8,0.6,1.4,56.4,43.6,0.4,3.8,3.4,7.2,3.2,2,1.3,10.7,11.7,7.8,9.2,35.6,0.4,1,2.7,7.6,2622,21,0.581,0.389,0.41,4,20.1,11.8,27.1,1,0.9,13.8,30.2,5.1,2.9,8,0.147,4.2,0.4,4.6,4.4,31873932,1,5.1,8.8,58.2,0.4,1.5,27.2,0.2,0.6,34.8,2.5,6.9,36.3,0,0,0
Boban Marjanovic,PHI,2019,C,30,58,31,27,11.7,105.3,105.3,0.1,12.8,0.92,12.6,12.4,23.2,18,13.7,62.3,66.4,22.2,104.16,16.4,1.5,3.3,0.3,0.1,0.1,0.2,54.5,45.5,0,5.2,1.1,6.4,1.2,2.3,0.3,5,4.5,3.4,4.2,11.3,0.5,0.3,1.6,1.6,376,24.9,0.666,0.014,0.679,16,26.5,21.4,9.3,1.4,3.6,16.9,24.6,1.2,0.5,1.7,0.217,1.1,0.3,1.4,0.3,9490740,0,2.4,3.6,66.5,0.4,0.7,51.3,0.1,0.2,27.3,0.1,0.2,40,0,0,0
Bobby Portis,WAS,2019,PF,24,50,14,36,26,109.9,114.3,-4.4,8.5,0.97,8.8,8.3,22.6,15.4,9.1,50.4,52.9,24.1,101.85,10.6,1.9,4.2,1.3,0.4,0.4,0.8,46.2,53.8,0.02,4.2,2,6.2,2.2,2.3,1.3,6.7,8.2,7.3,6.4,28.2,0.4,0.6,2.9,1.8,531,17.2,0.529,0.266,0.185,9.3,23.8,16.5,9.2,1,1.3,9,26.5,0.3,0.4,0.7,0.062,-0.9,-2.2,-3.1,-0.1,2494346,0,3,5.7,52.6,0.7,1.7,41.4,0.4,1.3,27.7,1.5,3.8,39.3,0,0,0
