Player.x,Team.x,Season.x,pos,Age.x,GP.x,W.x,L.x,Min.x,Offrtg,Defrtg,Netrtg,Ast_Pct,Ast_TO,Ast_Ratio,OREB_Pct,DREB_Pct,REB_Pct,To_Ratio,EFG_Pct,TS_Pct,USG_Pct,Pace,PIE,Screen_Assists,Screen_Assists_Pts,Deflections,Off_loose_balls_recovered,Def_loose_balls_recovered,loose_balls_recovered,Off_loose_balls_recovered_pct,Def_loose_balls_recovered_pct,Charges_drawn,Contested_2p_shots,Contested_3p_shots,Contested_shots,Pts_of_TOV,Second_pts,FBPS,PITP,OPP_pts_off_TO,OPP_Second_pts,OPP_FBPS,OPP_PITP,BLK,BLKA,PF,PFD,mp,per,tspercent,x3par,ftr,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,Salary,All_Star,FGM_0_8,FGA_0_8,FG._0_8,FGM_8_16,FGA_8_16,FG._8_16,FGM_16_24,FGA_16_24,FG._16_24,FGM_24_plus,FGA_24_plus,FG._24_plus,FGM_backcourt,FGA_backcourt,FG._backcourt
Aaron Gordon,ORL,2019,PF,23,78,40,38,33.8,107.4,105.9,1.5,16.6,1.78,18,4.7,16.5,10.6,10.1,50.7,53.8,21.3,99.28,10.9,0.9,2.1,1.3,0.6,0.6,1.2,50.5,49.5,0.01,4.4,2.1,6.5,2.2,2.1,1.9,7.5,10.4,7.4,8.1,33.5,0.7,0.7,2.2,3.4,2633,15.1,0.538,0.332,0.242,5.2,18.4,11.7,16.6,1.1,1.8,12.3,21.8,1.8,3.3,5.1,0.093,-0.2,1.2,1,2,21590909,0,3.3,5.8,57.8,0.7,1.9,36.9,0.4,1.3,34,1.6,4.4,35.3,0,0.1,0
Aaron Holiday,IND,2019,PG,22,50,31,19,12.9,107.2,100.2,7,18,2.17,21.2,0.8,8.8,4.9,9.8,48.3,51.8,20.6,103.35,7.8,0,0,0.7,0.2,0.2,0.3,47.1,52.9,0,1.5,1,2.5,1,0.3,0.9,1.7,3.9,3.6,3.5,12,0.3,0.2,1.4,1.2,646,11.9,0.518,0.485,0.191,0.9,10.4,5.8,19.3,1.6,1.8,12.3,21.9,0.1,0.8,0.9,0.065,-1.5,-1.1,-2.6,-0.1,1914480,0,0.7,1.3,50.7,0.3,0.7,43.3,0.3,0.8,39.5,0.9,2.6,34.1,0,0,0
Abdel Nader,OKC,2019,SF,25,61,38,23,11.4,96.4,105.8,-9.5,4.4,0.77,7.3,1.7,13.9,7.5,9.5,49.8,52.2,14.8,104.97,6.6,0,0.1,0.5,0.2,0.2,0.4,52,48,0.02,2.1,1.6,3.8,0.8,0.5,0.7,1.9,3.7,3.5,3.3,11.4,0.2,0.1,1.1,0.6,694,8.8,0.522,0.465,0.167,2,15.7,8.6,3.8,1.3,1.5,10.1,15.1,0,0.9,0.9,0.062,-4.2,-0.9,-5.1,-0.5,1378242,0,0.9,1.7,54.5,0.1,0.2,25,0,0.1,40,0.6,1.7,32.7,0,0,0
Al Horford,BOS,2019,C,33,68,41,27,29,112.5,106.4,6.1,20.3,2.77,24.7,6.2,16.1,11.3,8.9,58.6,60.5,18.8,100.82,13.4,3.3,7.7,1.4,0.3,0.6,0.8,31.6,68.4,0,8.8,2.9,11.7,1.6,1.6,0.7,6.5,8.2,8.5,8,27.8,1.3,0.4,1.9,1.8,1973,20.2,0.605,0.281,0.131,6.5,18.3,12.4,21.2,1.4,3.9,11.8,18.9,4.5,2.9,7.5,0.181,2.1,2.7,4.8,3.4,28928710,0,2.9,4.4,65.6,0.9,1.7,54.9,0.8,1.6,52.3,1.1,3,36,0,0,0
Alan Williams,BKN,2019,PF,26,5,1,4,5.1,115.3,88.1,27.1,17.6,3,15.8,11.4,40.5,26.4,5.3,61.5,61,22.2,110.91,27.4,0,0,0.2,0.2,0.2,0.4,50,50,0,0.6,1,1.6,0,1.6,0,2.8,1,1.4,1.8,5.2,0,0,0.4,0.6,26,32.9,0.61,0.077,0.308,16.2,60.3,38.4,22.3,1.8,0,6.3,25.5,0.1,0.1,0.2,0.312,3.1,2.7,5.8,0.1,77250,0,1,1.6,62.5,0.6,0.8,75,0,0,0,0,0.2,0,0,0,0
Alec Burks,SAC,2019,SG,27,64,19,45,21.5,103.6,114.6,-11.1,14.2,1.97,17.7,2.1,15.1,8.4,9,46.9,52.3,18.5,99.46,9.1,0.1,0.2,1.2,0.2,0.3,0.5,38.7,61.3,0,3,2.1,5.1,1,1.2,0.6,3.4,7.8,5.6,5.9,24.1,0.3,0.6,1.4,1.9,127,9,0.495,0.3,0.25,1.6,16.6,8.9,9.5,2.9,0.7,15.3,8.5,0,0.2,0.2,0.062,-3.8,1.9,-1.9,0,11536515,0,1.6,3.1,51,0.2,0.9,25,0.2,0.7,30.4,1,2.6,36.7,0,0,0
Alex Abrines,OKC,2019,SG,25,31,21,10,19,101.3,99.8,1.6,4.7,1.43,10.2,0.7,6.7,3.6,7.1,48.7,50.7,12,104.4,4.1,0,0.1,0.9,0.2,0.4,0.6,29.4,70.6,0.06,3.4,1.9,5.3,0.4,0.6,0.6,0.6,6.6,5.2,5.3,19.4,0.2,0.2,1.7,1,588,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,0.053,-2.4,-0.9,-3.4,-0.2,3667645,0,0.3,0.6,50,0,0.1,33.3,0.1,0.2,57.1,1.3,4,32.8,0,0.1,0
Alex Caruso,LAL,2019,PG,25,25,8,17,21.2,105.6,102.4,3.2,20.5,1.83,24.1,3.5,7.9,5.8,13.1,51.4,56.9,18.4,102.62,9.6,0.5,1.1,1.9,0.6,0.2,0.8,78.9,21.1,0.16,2.8,2.8,5.6,2.1,1,1.1,3.8,8.2,6.3,6.6,19.5,0.4,0.7,2.2,2.3,531,13.9,0.569,0.289,0.37,4,9,6.5,19.7,2.1,1.4,17.3,19,0.5,0.6,1,0.093,-0.9,0,-0.9,0.2,77250,0,1.8,3.8,48.4,0.3,0.9,28.6,0.1,0.4,27.3,1,2,48,0,0,0
Alex Len,ATL,2019,C,26,77,28,49,20.1,106,110.4,-4.4,8.6,0.89,9.3,9,15.9,12.4,10.5,55.1,57.5,21.4,107.31,10,2.2,5,0.5,0.3,0.2,0.4,61.8,38.2,0,7.8,1.7,9.6,1.4,2.1,0.8,6.2,8.4,5.8,7.4,19.5,0.9,0.6,2.6,2,1544,17.2,0.575,0.315,0.333,10.5,18.5,14.4,8.6,0.8,3.9,11.5,22.1,2.2,1,3.2,0.1,-0.1,-0.8,-0.9,0.4,4350000,0,3,5.1,58.2,0.2,0.4,41.2,0.1,0.2,22.2,1,2.6,36.5,0,0,0
Alex Poythress,ATL,2019,PF,25,21,7,14,14.5,101.5,111.5,-10,8.5,1.31,13.7,8.5,15.1,11.7,10.5,54.9,57.1,14,106.19,6.9,0.5,1.2,0.7,0.1,0.1,0.3,50,50,0,2.9,1.2,4,0.6,1.1,0.4,3,7.1,5.3,4.5,15.4,0.5,0.3,2.2,1.3,305,12.2,0.571,0.284,0.358,9.8,16.6,13.1,7.7,0.6,2.8,12.2,14.2,0.4,0.2,0.5,0.086,-1.6,-0.7,-2.2,0,77250,0,1.5,2.7,55.4,0,0,0,0,0.1,0,0.4,1.1,39.1,0,0,0
